,model_name,step,dte,train_rmse,test_rmse
SES_alpha=0.2_0_2022-12-22 00:00:00,SES_alpha=0.2,0,2022-12-22 00:00:00,24.839129350160626,2.6647423205072016
SES_alpha=0.6_0_2022-12-22 00:00:00,SES_alpha=0.6,0,2022-12-22 00:00:00,24.701102018462294,2.4721479193051863
SES_alpha=0.78_0_2022-12-22 00:00:00,SES_alpha=0.78,0,2022-12-22 00:00:00,24.839085578772078,2.66467441328313
ES_alpha=0.78_0_2022-12-22 00:00:00,ES_alpha=0.78,0,2022-12-22 00:00:00,24.839085578772078,2.66467441328313
naive_0_2022-12-22 00:00:00,naive,0,2022-12-22 00:00:00,24.990802054332452,2.91933669245073
ma30_0_2022-12-22 00:00:00,ma30,0,2022-12-22 00:00:00,24.58503364639377,2.352928630031254
Holt=0.78_0_2022-12-22 00:00:00,Holt=0.78,0,2022-12-22 00:00:00,24.086078061080443,2.6514506551182477
Holt_alpha=0.3_beta_0.1_0_2022-12-22 00:00:00,Holt_alpha=0.3_beta_0.1,0,2022-12-22 00:00:00,184.56210954182689,3.329374710549553
Arima_Best_0_2022-12-22 00:00:00,Arima_Best,0,2022-12-22 00:00:00,22.507349636723333,2.447814476900401
snaive_0_2022-12-22 00:00:00,snaive,0,2022-12-22 00:00:00,23.43107465606962,6.347548185831105
ES_alpha=0.78_0_2022-12-22 00:00:00,ES_alpha=0.78,0,2022-12-22 00:00:00,24.839085578772078,2.66467441328313
